arquivo,habilidade,temas,nivel_bloom,bloom_divergente,dificuldade,natureza,formato,aprovada,iteracoes,veredicto,garantia,nota_minima_critico,tipos,sem_conferencia
ciclo-001_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,aplicar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,equacao=aprovado; equacao=aprovado,
ciclo-002_EM13MAT306_aprovada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/imagem=aprovado; funcao/valor=aprovado,
ciclo-003_EM13MAT306_aprovada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,media,teorica,multipla_escolha,True,1,aprovado,conferido,4,funcao/periodo=aprovado; funcao/imagem=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-004_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,entender,False,media,aplicada,discursiva,True,1,aprovado_parcial,conferido_em_parte,3,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado,funcao/imagem=nao_verificavel
ciclo-005_EM13MAT403_aprovada.md,EM13MAT403,funcao_exponencial; funcao_logaritmica,entender,False,media,teorica,multipla_escolha,True,2,aprovado_parcial,conferido_em_parte,4,funcao/dominio=aprovado; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/crescimento=aprovado,funcao/imagem=nao_verificavel
ciclo-006_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,media,aplicada,discursiva,True,3,aprovado,conferido,3,funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/periodo=aprovado,
ciclo-007_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,media,teorica,multipla_escolha,True,1,aprovado,conferido,4,funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/periodo=aprovado,
ciclo-008_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,media,aplicada,discursiva,True,1,aprovado_parcial,conferido_em_parte,3,funcao/valor=aprovado; funcao/valor=aprovado; funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-009_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,media,teorica,multipla_escolha,True,1,aprovado_parcial,conferido_em_parte,4,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel; funcao/valor=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-010_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/crescimento=aprovado,
ciclo-011_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,analisar,False,media,teorica,multipla_escolha,True,3,aprovado,conferido,4,propriedade=aprovado; funcao/crescimento=aprovado,
ciclo-012_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/valor=aprovado,
ciclo-013_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,media,teorica,multipla_escolha,True,1,aprovado,conferido,3,propriedade=aprovado,
ciclo-014_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,analisar,False,media,aplicada,discursiva,True,3,aprovado,conferido,3,propriedade=aprovado; progressao/soma=aprovado; funcao/valor=aprovado,
ciclo-015_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,analisar,False,media,teorica,multipla_escolha,True,2,aprovado,conferido,3,funcao/valor=aprovado; progressao/termo=aprovado; propriedade=aprovado,
ciclo-016_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,analisar,False,media,aplicada,discursiva,True,2,aprovado,conferido,3,propriedade=aprovado; funcao/dominio=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-017_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,analisar,False,media,teorica,multipla_escolha,True,2,aprovado,conferido,4,propriedade=aprovado; funcao/valor=aprovado,
