arquivo,habilidade,temas,nivel_bloom,bloom_divergente,dificuldade,natureza,formato,aprovada,iteracoes,veredicto,garantia,nota_minima_critico,tipos,sem_conferencia
ciclo-001_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,aplicar,False,facil,aplicada,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado; funcao/valor=aprovado,
ciclo-002_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,criar,False,facil,teorica,discursiva,True,2,aprovado,conferido,4,funcao/valor=aprovado; equacao=aprovado,
ciclo-003_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,entender,False,facil,aplicada,discursiva,True,2,aprovado,conferido,4,funcao/vertice=aprovado; funcao/vertice=aprovado; funcao/dominio=aprovado; funcao/dominio=aprovado; propriedade=aprovado,
ciclo-004_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,facil,teorica,discursiva,True,1,aprovado_parcial,conferido_em_parte,4,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel; funcao/valor=aprovado; funcao/valor=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-005_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,analisar,False,facil,aplicada,discursiva,True,2,aprovado,conferido,3,funcao/vertice=aprovado; funcao/maximo=aprovado; equacao=aprovado,
ciclo-006_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,aplicar,False,media,teorica,discursiva,True,2,aprovado,conferido,3,propriedade=aprovado; funcao/valor=aprovado; equacao=aprovado,
ciclo-007_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; funcao/crescimento=aprovado; equacao=aprovado; equacao=aprovado,
ciclo-008_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,entender,False,media,teorica,discursiva,True,1,aprovado,conferido,4,funcao/vertice=aprovado; funcao/vertice=aprovado; funcao/vertice=aprovado; propriedade=aprovado,
ciclo-009_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,media,aplicada,discursiva,True,1,aprovado_parcial,conferido_em_parte,3,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel; equacao=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-010_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,media,teorica,discursiva,True,2,aprovado,conferido,4,propriedade=aprovado; funcao/vertice=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-011_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,criar,False,dificil,aplicada,discursiva,True,2,aprovado_parcial,conferido_em_parte,4,propriedade=aprovado; propriedade=aprovado; equacao=aprovado; funcao/valor=aprovado; equacao=aprovado; funcao/valor=aprovado; funcao/dominio=nao_verificavel,funcao/dominio=nao_verificavel
ciclo-012_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,analisar,False,dificil,teorica,discursiva,True,1,aprovado,conferido,4,equacao=aprovado; equacao=aprovado; equacao=aprovado,
ciclo-013_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,aplicar,False,dificil,aplicada,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado; propriedade=aprovado; funcao/vertice=aprovado; funcao/vertice=aprovado,
ciclo-014_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,dificil,teorica,discursiva,True,1,aprovado_parcial,conferido_em_parte,4,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel; equacao=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-015_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,dificil,aplicada,discursiva,True,2,aprovado,conferido,3,funcao/maximo=aprovado; funcao/valor=aprovado,
ciclo-016_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,aplicar,False,facil,teorica,multipla_escolha,True,2,aprovado,conferido,4,propriedade=aprovado; funcao/valor=aprovado,
ciclo-017_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,criar,False,facil,aplicada,multipla_escolha,True,2,aprovado_parcial,conferido_em_parte,3,propriedade=nao_verificavel; equacao=aprovado,propriedade=nao_verificavel
ciclo-018_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,aplicar,False,facil,teorica,multipla_escolha,True,2,aprovado,conferido,3,funcao/vertice=aprovado; funcao/valor=aprovado; propriedade=aprovado,
ciclo-019_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,facil,aplicada,multipla_escolha,True,1,aprovado_parcial,conferido_em_parte,3,funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel
ciclo-020_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,analisar,False,facil,teorica,multipla_escolha,True,3,aprovado,conferido,4,funcao/maximo=aprovado; funcao/maximo=aprovado; funcao/vertice=aprovado,
ciclo-021_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,criar,False,media,aplicada,multipla_escolha,True,3,aprovado,conferido,3,propriedade=aprovado; propriedade=aprovado; funcao/zeros=aprovado; funcao/crescimento=aprovado,
ciclo-022_EM13MAT305_descartada.md,EM13MAT305,funcao_logaritmica,criar,False,media,teorica,multipla_escolha,False,3,aprovado,conferido,2,propriedade=aprovado; funcao/valor=aprovado,
ciclo-023_EM13MAT402_aprovada.md,EM13MAT402,funcao_quadratica,aplicar,False,media,aplicada,multipla_escolha,True,2,aprovado,conferido,4,funcao/vertice=aprovado; funcao/zeros=aprovado; funcao/vertice=aprovado; funcao/valor=aprovado,
ciclo-024_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,aplicar,False,media,teorica,multipla_escolha,True,1,aprovado_parcial,conferido_em_parte,4,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel; funcao/crescimento=aprovado; funcao/valor=aprovado,funcao/dominio=nao_verificavel; funcao/imagem=nao_verificavel
ciclo-025_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,media,aplicada,multipla_escolha,True,1,aprovado,conferido,3,funcao/vertice=aprovado,
ciclo-026_EM13MAT302_aprovada.md,EM13MAT302,funcao_afim,aplicar,False,dificil,teorica,multipla_escolha,True,1,aprovado,conferido,3,equacao=aprovado,
ciclo-027_EM13MAT305_aprovada.md,EM13MAT305,funcao_logaritmica,analisar,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; equacao=aprovado,
ciclo-028_EM13MAT402_descartada.md,EM13MAT402,funcao_quadratica,entender,False,dificil,teorica,multipla_escolha,False,3,aprovado,conferido,2,equacao=aprovado; funcao/vertice=aprovado,
ciclo-029_EM13MAT405_aprovada.md,EM13MAT405,funcao_por_partes,entender,False,dificil,aplicada,multipla_escolha,True,1,nao_verificavel,sem_conferencia,3,funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel,funcao/imagem=nao_verificavel; funcao/crescimento=nao_verificavel
ciclo-030_EM13MAT503_aprovada.md,EM13MAT503,funcao_quadratica,aplicar,False,dificil,teorica,multipla_escolha,True,2,aprovado,conferido,3,funcao/vertice=aprovado,
ciclo-031_EM13MAT303_descartada.md,EM13MAT303,funcao_exponencial,criar,False,facil,teorica,discursiva,False,3,rejeitado,sem_conferencia,,propriedade=rejeitado; propriedade=rejeitado; funcao/valor=aprovado; funcao/valor=rejeitado; funcao/valor=aprovado; funcao/valor=rejeitado,
ciclo-032_EM13MAT306_aprovada.md,EM13MAT306,funcao_trigonometrica,aplicar,False,facil,aplicada,discursiva,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/valor=aprovado; funcao/maximo=aprovado; equacao=aprovado,
