item,avaliadores,ciclo,habilidade,temas,dificuldade,natureza,formato,nivel_bloom,garantia,aprovada
Q001,2,1,EM13MAT302,funcao_afim,facil,aplicada,discursiva,aplicar,conferido,True
Q002,5,2,EM13MAT405,funcao_por_partes,facil,teorica,discursiva,entender,conferido_em_parte,True
Q003,1,3,EM13MAT302,funcao_afim,media,teorica,discursiva,aplicar,conferido,True
Q004,1,4,EM13MAT405,funcao_por_partes,media,aplicada,discursiva,entender,conferido_em_parte,True
Q005,2,5,EM13MAT302,funcao_afim,dificil,aplicada,discursiva,criar,conferido_em_parte,True
Q006,4,6,EM13MAT405,funcao_por_partes,dificil,teorica,discursiva,entender,conferido_em_parte,True
Q007,1 2 3 4 5,7,EM13MAT302,funcao_afim,facil,teorica,multipla_escolha,aplicar,conferido,True
Q008,2,8,EM13MAT405,funcao_por_partes,facil,aplicada,multipla_escolha,entender,conferido_em_parte,True
Q009,2,9,EM13MAT302,funcao_afim,media,aplicada,multipla_escolha,criar,conferido,True
Q010,3,10,EM13MAT405,funcao_por_partes,media,teorica,multipla_escolha,aplicar,conferido_em_parte,True
Q011,3,11,EM13MAT302,funcao_afim,dificil,teorica,multipla_escolha,aplicar,conferido,True
Q012,1,12,EM13MAT405,funcao_por_partes,dificil,aplicada,multipla_escolha,entender,sem_conferencia,True
Q013,2,13,EM13MAT403,funcao_exponencial+funcao_logaritmica,facil,teorica,discursiva,analisar,conferido_em_parte,True
Q014,5,14,EM13MAT501,funcao_afim,facil,aplicada,discursiva,criar,conferido,True
Q015,1 2 3 4 5,15,EM13MAT403,funcao_exponencial+funcao_logaritmica,media,aplicada,discursiva,analisar,conferido,True
Q016,2,16,EM13MAT501,funcao_afim,media,teorica,discursiva,analisar,conferido,True
Q017,5,17,EM13MAT403,funcao_exponencial+funcao_logaritmica,dificil,teorica,discursiva,analisar,conferido_em_parte,True
Q018,4,18,EM13MAT501,funcao_afim,dificil,aplicada,discursiva,analisar,conferido,True
Q019,4,19,EM13MAT403,funcao_exponencial+funcao_logaritmica,facil,aplicada,multipla_escolha,entender,conferido_em_parte,True
