90 ciclo(s) analisado(s).

tipo/consulta                 total  ñ-verif.    taxa   reprov.
----------------------------------------------------------------
funcao/imagem                    34        12  35.3%         0
funcao/dominio                   51         6  11.8%         0
funcao/crescimento               57         5   8.8%         0
funcao/maximo                    15         1   6.7%         0
propriedade                      71         1   1.4%         1
funcao/valor                     89         0   0.0%         2
equacao                          43         0   0.0%         6
funcao/zeros                     16         0   0.0%         1
funcao/periodo                   15         0   0.0%         0
funcao/minimo                     8         0   0.0%         0
funcao/vertice                   32         0   0.0%         0
progressao/termo                 12         0   0.0%         0
progressao/soma                   1         0   0.0%         0
